ID,SDSS_NAME,R.A. [deg],Dec. [deg],redshift,log M_*/M_sun,r [mag],i [mag],r_tidal [mag],i_tidal [mag],log f_tidal
26,J001857.12-005816.3,4.73803,-0.97118,0.069,11.29(0.16),15.714(0.004),15.248(0.003),18.87(0.02),19.08(0.02),-1.39(0.16) 
27,J001921.79+003611.0,4.84082,0.60308,0.105,11.22(0.18),17.005(0.006),16.535(0.005),20.78(0.04),19.98(0.04),-1.45(0.17) 
56,J003755.13+010644.2,9.47972,1.1123,0.15,11.39(0.14),17.153(0.007),16.729(0.006),20.99(0.04),20.39(0.04),-1.51(0.18) 
85,J011031.31+003636.6,17.63045,0.61017,0.122,11.01(0.14),16.829(0.006),16.422(0.005),20.18(0.03),19.65(0.02),-1.34(0.16) 
103,J012209.17+003819.9,20.53821,0.63887,0.132,11.20(0.15),16.714(0.006),16.305(0.005),20.28(0.03),19.85(0.03),-1.44(0.17) 
155,J015012.99+000504.8,27.55416,0.0847,0.127,11.00(0.18),16.599(0.005),16.310(0.005),20.32(0.03),19.85(0.03),-1.47(0.17) 
165,J015253.20-002448.3,28.22169,-0.41342,0.139,11.06(0.17),16.689(0.006),16.316(0.005),20.15(0.03),19.17(0.02),-1.27(0.15) 
172,J015450.38+000345.1,28.70992,0.06256,0.144,11.12(0.12),17.163(0.007),16.830(0.006),20.45(0.04),20.43(0.04),-1.39(0.16) 
217,J021700.90+011535.9,34.25379,1.26003,0.123,11.35(0.16),16.607(0.005),16.291(0.005),19.26(0.02),19.07(0.02),-1.12(0.11) 
287,J085526.47+000342.0,133.8603,0.06168,0.108,11.04(0.21),16.479(0.005),16.097(0.004),19.61(0.02),19.58(0.02),-1.34(0.16) 
289,J085605.90+003622.8,134.02461,0.60634,0.109,11.18(0.17),16.224(0.004),15.824(0.004),19.56(0.02),19.30(0.02),-1.38(0.16) 
311,J091359.76+045341.6,138.49904,4.89489,0.145,11.08(0.13),17.014(0.006),16.694(0.006),20.17(0.03),19.91(0.03),-1.30(0.15) 
325,J091813.88+040849.9,139.55788,4.14721,0.146,11.00(0.13),17.555(0.008),17.235(0.007),20.97(0.05),20.97(0.05),-1.44(0.17) 
365,J092849.20+021120.0,142.20501,2.18891,0.093,11.38(0.10),15.758(0.004),15.323(0.003),19.50(0.02),19.02(0.02),-1.50(0.18) 
373,J093016.13+012747.7,142.5672,1.46328,0.083,11.53(0.17),15.631(0.003),15.204(0.003),18.77(0.01),18.51(0.01),-1.31(0.15) 
443,J094343.08+020149.5,145.9295,2.03045,0.12,11.34(0.17),16.480(0.005),16.024(0.004),20.06(0.03),19.71(0.02),-1.47(0.17) 
482,J095155.34+032900.3,147.98061,3.48341,0.06,11.26(0.19),15.576(0.003),15.231(0.003),19.28(0.02),19.03(0.02),-1.51(0.18) 
500,J095537.74+052746.8,148.90728,5.46305,0.092,11.55(0.10),15.424(0.003),14.971(0.003),19.18(0.02),18.30(0.02),-1.43(0.17) 
588,J101556.13+023454.3,153.98393,2.58177,0.095,11.20(0.12),16.182(0.004),15.750(0.004),19.61(0.02),19.21(0.02),-1.40(0.16) 
594,J101735.80+022025.4,154.3992,2.34039,0.122,11.53(0.23),16.183(0.004),15.752(0.004),19.76(0.02),19.32(0.02),-1.44(0.17) 
598,J101750.63+045807.2,154.46098,4.96867,0.147,11.56(0.11),16.490(0.005),16.048(0.004),19.57(0.02),19.18(0.02),-1.27(0.14) 
603,J101843.39+035446.1,154.68079,3.91281,0.117,11.31(0.11),16.409(0.005),16.024(0.004),19.72(0.02),19.68(0.03),-1.41(0.17) 
612,J102144.47-004019.7,155.43534,-0.67216,0.096,11.73(0.13),15.219(0.003),14.770(0.002),18.88(0.02),18.45(0.01),-1.48(0.17) 
651,J102943.23-000756.5,157.43014,-0.13236,0.118,11.13(0.20),16.642(0.005),16.269(0.005),20.16(0.03),20.30(0.03),-1.51(0.18) 
725,J104040.89-001904.1,160.17036,-0.31781,0.134,11.52(0.11),15.926(0.004),15.550(0.003),18.03(0.01),19.01(0.02),-1.08(0.10) 
754,J104302.56+005418.2,160.76071,0.90508,0.126,11.72(0.11),15.602(0.003),15.154(0.003),20.53(0.03),18.14(0.01),-1.45(0.17) 
786,J104701.36+015654.6,161.7557,1.94853,0.124,11.14(0.15),16.474(0.005),16.092(0.004),20.16(0.03),19.88(0.03),-1.51(0.18) 
812,J105022.92+032056.7,162.59553,3.3491,0.068,11.22(0.18),15.687(0.003),15.243(0.003),19.34(0.02),18.90(0.02),-1.48(0.17) 
